"ENTREZID","percent"
"10861",0
"126328",0
"1327",0
"1337",100
"1339",100
"1340",100
"1349",0
"1351",0
"1537",100
"1646",100
"1836",0
"2052",0
"208",0
"27089",100
"291",100
"3162",100
"374291",0
"4694",0
"4695",0
"4697",0
"4700",0
"4702",0
"4704",0
"4705",0
"4709",0
"4714",0
"4715",0
"4716",0
"4718",0
"4719",0
"4720",0
"4722",0
"4723",0
"4724",0
"4726",0
"4728",0
"4729",0
"4780",0
"498",100
"506",100
"51079",0
"513",100
"514",100
"5290",0
"5293",0
"5295",0
"5296",0
"539",100
"54539",0
"55967",0
"5728",100
"6389",100
"6390",100
"6391",100
"6392",100
"7381",100
"7384",100
"7385",100
"7386",100
"847",100
"84701",0
"9377",100
